"";"ALI";"NAL";"ALIVOL";"NALVOL"
"2000q1";71,6;85,9;106,6;102,3
"2000q2";70,2;86,7;104,3;102,9
"2000q3";74,2;95,6;109,7;113,4
"2000q4";78,9;98,6;116,1;116,7
"2000q5";74,3;110,5;109,2;130,6
"2000q6";78,6;102,1;115,4;120,5
"2000q7";73,2;105,1;107,7;123,8
"2000q8";68;81,7;100,1;96,2
"2000q9";78,6;103;115,6;120,8
"2000q10";82,5;110,6;120,9;129,4
"2000q11";80,7;113,5;117,9;132,4
"2000q12";110,9;148,6;161;173,1
"2001q1";74,4;87,7;107,4;103,6
"2001q2";73,7;89,3;105,5;107,2
"2001q3";78,7;97,7;112,5;115,4
"2001q4";79,9;101,8;113,6;119,4
"2001q5";76,4;112,6;108;131,6
"2001q6";82,4;104,9;116,1;122,4
"2001q7";74,7;106,7;104,9;124,9
"2001q8";72,1;83,9;101,5;99,1
"2001q9";79,3;103,6;111,7;121,3
"2001q10";87,4;112,3;122,5;130,5
"2001q11";83,3;115,3;116,6;133,6
"2001q12";115,9;150,5;161,5;174,4
"2002q1";77,1;89,9;106,1;104,6
"2002q2";76,1;91;104,6;107
"2002q3";84,3;100;115,7;115,7
"2002q4";82,5;103;112,5;117,9
"2002q5";78,9;115;107,2;131,7
"2002q6";84,5;105,7;115;120,9
"2002q7";78,8;108,3;107,7;124,1
"2002q8";74,6;84,1;102,1;97,1
"2002q9";80,6;102,9;110;117,4
"2002q10";92,5;113,9;125,7;129,3
"2002q11";87,9;116,9;119;132,3
"2002q12";120,7;153,5;162,9;173,2
"2003q1";80,3;91,6;108;104,5
"2003q2";81,1;91,8;109,1;106,1
"2003q3";86,9;99;116,5;112
"2003q4";90,1;106,4;120,3;119,6
"2003q5";84,5;116,9;112,2;131,1
"2003q6";87,1;103,8;115,4;116,4
"2003q7";81,9;109,8;108,3;123,8
"2003q8";76,5;81,5;101;92,8
"2003q9";85,5;104,3;112;117,4
"2003q10";97,3;112,9;126,8;126,2
"2003q11";88,6;114,5;115,2;127,4
"2003q12";126,1;153,7;163,6;171,3
"2004q1";85,3;93,3;110,4;105,7
"2004q2";82,1;90,9;106,2;103,5
"2004q3";87,7;98,6;113,5;110,7
"2004q4";91,4;106,7;118,2;118,6
"2004q5";81,4;113,4;104,9;125,8
"2004q6";89;105,7;114,7;117,3
"2004q7";82;109,2;106,1;122,1
"2004q8";73,9;81;95,9;91,2
"2004q9";83,7;102,3;108,8;113,8
"2004q10";95;109,6;123,7;120,7
"2004q11";87,8;114,4;114,4;125,6
"2004q12";126,2;152,4;164,5;167,3
"2005q1";78,3;93,9;101,9;105,3
"2005q2";77,1;89,3;100;100,9
"2005q3";89,2;98;115,7;108,6
"2005q4";87,1;98,8;112,9;108,3
"2005q5";85,9;103,9;111,1;113,7
"2005q6";92;102,5;118,9;112,2
"2005q7";91,5;110,5;118,7;122,4
"2005q8";87,9;94,5;114;105,5
"2005q9";88,4;105,5;114,9;116,1
"2005q10";90,5;112,2;117,5;122,5
"2005q11";87,5;104,7;113,5;113,8
"2005q12";119;163,6;153,9;177,8
"2006q1";79,2;95;102,2;105,7
"2006q2";78,3;90,7;100,7;101,7
"2006q3";87,9;97,4;112,9;107,1
"2006q4";90,5;99,4;116,3;108,2
"2006q5";87,6;105,1;112;113,9
